One	CD	One
She	PRP	She
was	VBD	be
the	DT	the
boatman	NN	boatman
's	POS	's
daughter	NN	daughter
,	,	,
graceful	JJ	graceful
and	CC	and
delicate	JJ	delicate
as	IN	a
the	DT	the
child	NN	child
of	IN	of
a	DT	a
gentleman	NN	gentleman
;	:	;
had	VBD	have
she	PRP	she
been	VBN	be
dressed	VBN	dress
differently	RB	differently
,	,	,
no	DT	no
one	NN	one
would	MD	would
have	VB	have
believed	VBN	believe
that	IN	that
she	PRP	she
lived	VBD	live
in	IN	in
a	DT	a
hut	NN	hut
on	IN	on
the	DT	the
neighboring	JJ	neighboring
heath	NN	heath
with	IN	with
her	PRP$	her
father	NN	father
.	.	.
He	PRP	He
was	VBD	be
a	DT	a
widower	NN	widower
,	,	,
and	CC	and
earned	VBD	earn
his	PRP$	his
living	NN	living
by	IN	by
carrying	VBG	carry
firewood	NN	firewood
in	IN	in
his	PRP$	his
large	JJ	large
boat	NN	boat
from	IN	from
the	DT	the
forest	NN	forest
to	TO	to
the	DT	the
eel-pond	NN	eel-pond
and	CC	and
eel-weir	NN	eel-weir
,	,	,
on	IN	on
the	DT	the
estate	NN	estate
of	IN	of
Silkborg	NNP	Silkborg
,	,	,
and	CC	and
sometimes	RB	sometimes
even	RB	even
to	TO	to
the	DT	the
distant	JJ	distant
town	NN	town
of	IN	of
Randers	NNP	Randers
.	.	.
There	EX	There
was	VBD	be
no	DT	no
one	NN	one
under	IN	under
whose	WP$	whose
care	NN	care
he	PRP	he
could	MD	could
leave	VB	leave
Little	NNP	Little
Christina	NNP	Christina
;	:	;
so	RB	so
she	PRP	she
was	VBD	be
almost	RB	almost
always	RB	always
with	IN	with
him	PRP	him
in	IN	in
his	PRP$	his
boat	NN	boat
,	,	,
or	CC	or
playing	VBG	play
in	IN	in
the	DT	the
wood	NN	wood
among	IN	among
the	DT	the
blossoming	VBG	blossom
heath	NN	heath
,	,	,
or	CC	or
picking	VBG	pick
the	DT	the
ripe	JJ	ripe
wild	JJ	wild
berries	NNS	berry
.	.	.
Sometimes	RB	Sometimes
,	,	,
when	WRB	when
her	PRP$	her
father	NN	father
had	VBD	have
to	TO	to
go	VB	go
as	RB	as
far	RB	far
as	IN	a
the	DT	the
town	NN	town
,	,	,
he	PRP	he
would	MD	would
take	VB	take
Little	JJ	Little
Christina	NNP	Christina
,	,	,
who	WP	who
was	VBD	be
a	DT	a
year	NN	year
younger	JJR	young
than	IN	than
Ib	NNP	Ib
,	,	,
across	IN	across
the	DT	the
heath	NN	heath
to	TO	to
the	DT	the
cottage	NN	cottage
of	IN	of
Jeppe	NNP	Jeppe
Jans	NNPS	Jans
,	,	,
and	CC	and
leave	VBP	leave
her	PRP$	her
there	RB	there
.	.	.
Ib	NNP	Ib
and	CC	and
Christina	NNP	Christina
agreed	VBD	agree
together	RB	together
in	IN	in
everything	NN	everything
;	:	;
they	PRP	they
divided	VBD	divide
their	PRP$	their
bread	NN	bread
and	CC	and
berries	NNS	berry
when	WRB	when
they	PRP	they
were	VBD	be
hungry	JJ	hungry
;	:	;
they	PRP	they
were	VBD	be
partners	NNS	partner
in	IN	in
digging	VBG	dig
their	PRP$	their
little	JJ	little
gardens	NNS	garden
;	:	;
they	PRP	they
ran	VBD	run
,	,	,
and	CC	and
crept	NN	crept
,	,	,
and	CC	and
played	VBD	play
about	IN	about
everywhere	RB	everywhere
.	.	.
Once	RB	Once
they	PRP	they
wandered	VBD	wander
a	DT	a
long	JJ	long
way	NN	way
into	IN	into
the	DT	the
forest	NN	forest
,	,	,
and	CC	and
even	RB	even
ventured	VBD	venture
together	RB	together
to	TO	to
climb	VB	climb
the	DT	the
high	JJ	high
ridge	NN	ridge
.	.	.
Another	DT	Another
time	NN	time
they	PRP	they
found	VBD	find
a	DT	a
few	JJ	few
snipes	NNS	snipe
'	POS	'
eggs	NNS	egg
in	IN	in
the	DT	the
wood	NN	wood
,	,	,
which	WDT	which
was	VBD	be
a	DT	a
great	JJ	great
event	NN	event
.	.	.
Ib	NNP	Ib
had	VBD	have
never	RB	never
been	VBN	be
on	IN	on
the	DT	the
heath	NN	heath
where	WRB	where
Christina	NNP	Christina
's	POS	's
father	NN	father
lived	VBD	live
,	,	,
nor	CC	nor
on	IN	on
the	DT	the
river	NN	river
;	:	;
but	CC	but
at	IN	at
last	JJ	last
came	VBD	come
an	DT	an
opportunity	NN	opportunity
.	.	.
Christina	NNP	Christina
's	POS	's
father	NN	father
invited	VBD	invite
him	PRP	him
to	TO	to
go	VB	go
for	IN	for
a	DT	a
sail	NN	sail
in	IN	in
his	PRP$	his
boat	NN	boat
;	:	;
and	CC	and
the	DT	the
evening	NN	evening
before	RB	before
,	,	,
he	PRP	he
accompanied	VBD	accompany
the	DT	the
boatman	NN	boatman
across	IN	across
the	DT	the
heath	NN	heath
to	TO	to
his	PRP$	his
house	NN	house
.	.	.
The	DT	The
next	JJ	next
morning	NN	morning
early	RB	early
,	,	,
the	DT	the
two	CD	two
children	NNS	child
were	VBD	be
placed	VBN	place
on	IN	on
the	DT	the
top	NN	top
of	IN	of
a	DT	a
high	JJ	high
pile	NN	pile
of	IN	of
firewood	NN	firewood
in	IN	in
the	DT	the
boat	NN	boat
,	,	,
and	CC	and
sat	VBD	sit
eating	VBG	eat
bread	NN	bread
and	CC	and
wild	JJ	wild
strawberries	NNS	strawberry
,	,	,
while	IN	while
Christina	NNP	Christina
's	POS	's
father	NN	father
and	CC	and
his	PRP$	his
man	NN	man
drove	VBD	drive
the	DT	the
boat	NN	boat
forward	RB	forward
with	IN	with
poles	NNS	pole
.	.	.
They	PRP	They
floated	VBD	float
on	IN	on
swiftly	RB	swiftly
,	,	,
for	IN	for
the	DT	the
tide	NN	tide
was	VBD	be
in	IN	in
their	PRP$	their
favor	NN	favor
,	,	,
passing	VBG	pass
over	IN	over
lakes	NNS	lake
,	,	,
formed	VBN	form
by	IN	by
the	DT	the
stream	NN	stream
in	IN	in
its	PRP$	it
course	NN	course
;	:	;
sometimes	VBZ	sometimes
they	PRP	they
seemed	VBD	seem
quite	RB	quite
enclosed	VBN	enclose
by	IN	by
reeds	NNS	reed
and	CC	and
water-plants	NNS	water-plants
,	,	,
yet	RB	yet
there	EX	there
was	VBD	be
always	RB	always
room	NN	room
for	IN	for
them	PRP	them
to	TO	to
pass	VB	pass
out	RP	out
,	,	,
although	IN	although
the	DT	the
old	JJ	old
trees	NNS	tree
overhung	VBP	overhang
the	DT	the
water	NN	water
and	CC	and
the	DT	the
old	JJ	old
oaks	NNS	oak
stretched	VBD	stretch
out	RP	out
their	PRP$	their
bare	NN	bare
branches	NNS	branch
,	,	,
as	IN	a
if	IN	if
they	PRP	they
had	VBD	have
turned	VBN	turn
up	RP	up
their	PRP$	their
sleeves	NNS	sleeve
and	CC	and
wished	VBD	wish
to	TO	to
show	VB	show
their	PRP$	their
knotty	NN	knotty
,	,	,
naked	JJ	naked
arms	NNS	arm
.	.	.
Old	NNP	Old
alder-trees	NNS	alder-trees
,	,	,
whose	WP$	whose
roots	NNS	root
were	VBD	be
loosened	VBN	loosen
from	IN	from
the	DT	the
banks	NNS	bank
,	,	,
clung	NN	clung
with	IN	with
their	PRP$	their
fibres	NNS	fibre
to	TO	to
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
stream	NN	stream
,	,	,
and	CC	and
the	DT	the
tops	NNS	top
of	IN	of
the	DT	the
branches	NNS	branch
above	IN	above
the	DT	the
water	NN	water
looked	VBD	look
like	IN	like
little	JJ	little
woody	NN	woody
islands	NNS	island
.	.	.
The	DT	The
water-lilies	NNS	water-lilies
waved	VBD	wave
themselves	PRP	themselves
to	TO	to
and	CC	and
fro	VB	fro
on	IN	on
the	DT	the
river	NN	river
,	,	,
everything	NN	everything
made	VBD	make
the	DT	the
excursion	NN	excursion
beautiful	NN	beautiful
,	,	,
and	CC	and
at	IN	at
last	JJ	last
they	PRP	they
came	VBD	come
to	TO	to
the	DT	the
great	JJ	great
eel-weir	NN	eel-weir
,	,	,
where	WRB	where
the	DT	the
water	NN	water
rushed	VBD	rush
through	IN	through
the	DT	the
flood-gates	NNS	flood-gates
;	:	;
and	CC	and
the	DT	the
children	NNS	child
thought	VBD	think
this	DT	this
a	DT	a
beautiful	JJ	beautiful
sight	NN	sight
.	.	.
In	IN	In
those	DT	those
days	NNS	day
there	EX	there
was	VBD	be
no	DT	no
factory	NN	factory
nor	CC	nor
any	DT	any
town	NN	town
house	NN	house
,	,	,
nothing	NN	nothing
but	CC	but
the	DT	the
great	JJ	great
farm	NN	farm
,	,	,
with	IN	with
its	PRP$	it
scanty-bearing	JJ	scanty-bearing
fields	NNS	field
,	,	,
in	IN	in
which	WDT	which
could	MD	could
be	VB	be
seen	VBN	see
a	DT	a
few	JJ	few
herd	NN	herd
of	IN	of
cattle	NNS	cattle
,	,	,
and	CC	and
one	CD	one
or	CC	or
two	CD	two
farm	NN	farm
laborers	NNS	laborer
.	.	.
The	DT	The
rushing	NN	rushing
of	IN	of
the	DT	the
water	NN	water
through	IN	through
the	DT	the
sluices	NNS	sluice
,	,	,
and	CC	and
the	DT	the
scream	NN	scream
of	IN	of
the	DT	the
wild	JJ	wild
ducks	NNS	duck
,	,	,
were	VBD	be
almost	RB	almost
the	DT	the
only	JJ	only
signs	NNS	sign
of	IN	of
active	JJ	active
life	NN	life
at	IN	at
Silkborg	NNP	Silkborg
.	.	.
After	IN	After
the	DT	the
firewood	NN	firewood
had	VBD	have
been	VBN	be
unloaded	VBN	unload
,	,	,
Christina	NNP	Christina
's	POS	's
father	NN	father
bought	VBD	buy
a	DT	a
whole	JJ	whole
bundle	NN	bundle
of	IN	of
eels	NNS	eel
and	CC	and
a	DT	a
sucking-pig	NN	sucking-pig
,	,	,
which	WDT	which
were	VBD	be
all	DT	all
placed	VBN	place
in	IN	in
a	DT	a
basket	NN	basket
in	IN	in
the	DT	the
stern	NN	stern
of	IN	of
the	DT	the
boat	NN	boat
.	.	.
Then	RB	Then
they	PRP	they
returned	VBD	return
again	RB	again
up	IN	up
the	DT	the
stream	NN	stream
;	:	;
and	CC	and
as	IN	a
the	DT	the
wind	NN	wind
was	VBD	be
favorable	JJ	favorable
,	,	,
two	CD	two
sails	NNS	sail
were	VBD	be
hoisted	VBN	hoist
,	,	,
which	WDT	which
carried	VBD	carry
the	DT	the
boat	NN	boat
on	IN	on
as	RB	as
well	RB	well
as	IN	a
if	IN	if
two	CD	two
horses	NNS	horse
had	VBD	have
been	VBN	be
harnessed	VBN	harness
to	TO	to
it	PRP	it
.	.	.
As	IN	As
they	PRP	they
sailed	VBD	sail
on	IN	on
,	,	,
they	PRP	they
came	VBD	come
by	IN	by
chance	NN	chance
to	TO	to
the	DT	the
place	NN	place
where	WRB	where
the	DT	the
boatman	NN	boatman
's	POS	's
assistant	NN	assistant
lived	VBD	live
,	,	,
at	IN	at
a	DT	a
little	JJ	little
distance	NN	distance
from	IN	from
the	DT	the
bank	NN	bank
of	IN	of
the	DT	the
river	NN	river
.	.	.
The	DT	The
boat	NN	boat
was	VBD	be
moored	VBN	moor
;	:	;
and	CC	and
the	DT	the
two	CD	two
men	NNS	men
,	,	,
after	IN	after
desiring	VBG	desire
the	DT	the
children	NNS	child
to	TO	to
sit	VB	sit
still	RB	still
,	,	,
both	DT	both
went	VBD	go
on	IN	on
shore	NN	shore
.	.	.
they	PRP	they
obeyed	VBD	obey
this	DT	this
order	NN	order
for	IN	for
a	DT	a
very	RB	very
short	JJ	short
time	NN	time
,	,	,
and	CC	and
then	RB	then
forgot	VBD	forget
it	PRP	it
altogether	RB	altogether
.	.	.
First	RB	First
they	PRP	they
peeped	VBD	peep
into	IN	into
the	DT	the
basket	NN	basket
containing	VBG	contain
the	DT	the
eels	NNS	eel
and	CC	and
the	DT	the
sucking-pig	NN	sucking-pig
;	:	;
then	RB	then
they	PRP	they
must	MD	must
needs	VB	need
pull	VB	pull
out	RP	out
the	DT	the
pig	NN	pig
and	CC	and
take	VB	take
it	PRP	it
in	IN	in
their	PRP$	their
hands	NNS	hand
,	,	,
and	CC	and
feel	VB	feel
it	PRP	it
,	,	,
and	CC	and
touch	VB	touch
it	PRP	it
;	:	;
and	CC	and
as	IN	a
they	PRP	they
both	DT	both
wanted	VBD	want
to	TO	to
hold	VB	hold
it	PRP	it
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
the	DT	the
consequence	NN	consequence
was	VBD	be
that	IN	that
they	PRP	they
let	VB	let
it	PRP	it
fall	VB	fall
into	IN	into
the	DT	the
water	NN	water
,	,	,
and	CC	and
the	DT	the
pig	NN	pig
sailed	VBD	sail
away	RB	away
with	IN	with
the	DT	the
stream	NN	stream
.	.	.
Here	RB	Here
was	VBD	be
a	DT	a
terrible	JJ	terrible
disaster	NN	disaster
.	.	.
Ib	NNP	Ib
jumped	VBD	jump
ashore	RB	ashore
,	,	,
and	CC	and
ran	VBD	run
a	DT	a
little	JJ	little
distance	NN	distance
from	IN	from
the	DT	the
boat	NN	boat
.	.	.
``	``	``
Oh	UH	Oh
,	,	,
take	VB	take
me	PRP	me
with	IN	with
you	PRP	you
,	,	,
''	''	''
cried	VBD	cry
Christina	NNP	Christina
;	:	;
and	CC	and
she	PRP	she
sprang	VBD	spring
after	IN	after
him	PRP	him
.	.	.
In	IN	In
a	DT	a
few	JJ	few
minutes	NNS	minute
they	PRP	they
found	VBD	find
themselves	PRP	themselves
deep	VBP	deep
in	IN	in
a	DT	a
thicket	NN	thicket
,	,	,
and	CC	and
could	MD	could
no	RB	no
longer	RBR	longer
see	VB	see
the	DT	the
boat	NN	boat
or	CC	or
the	DT	the
shore	NN	shore
.	.	.
They	PRP	They
ran	VBD	run
on	IN	on
a	DT	a
little	JJ	little
farther	NN	farther
,	,	,
and	CC	and
then	RB	then
Christina	NNP	Christina
fell	VBD	fell
down	RB	down
,	,	,
and	CC	and
began	VBD	begin
to	TO	to
cry	VB	cry
.	.	.
Ib	NNP	Ib
helped	VBD	help
her	PRP$	her
up	NN	up
,	,	,
and	CC	and
said	VBD	say
,	,	,
``	``	``
Never	NNP	Never
mind	NN	mind
;	:	;
follow	VB	follow
me	PRP	me
.	.	.
Yonder	NN	Yonder
is	VBZ	be
the	DT	the
house	NN	house
.	.	.
''	''	''
But	CC	But
the	DT	the
house	NN	house
was	VBD	be
not	RB	not
yonder	JJR	yonder
;	:	;
and	CC	and
they	PRP	they
wandered	VBD	wander
still	RB	still
farther	RB	far
,	,	,
over	IN	over
the	DT	the
dry	JJ	dry
rustling	VBG	rustle
leaves	NNS	leaf
of	IN	of
the	DT	the
last	JJ	last
year	NN	year
,	,	,
and	CC	and
treading	VBG	tread
on	IN	on
fallen	VBN	fall
branches	NNS	branch
that	WDT	that
crackled	VBD	crackle
under	IN	under
their	PRP$	their
little	JJ	little
feet	NNS	foot
;	:	;
then	RB	then
they	PRP	they
heard	VBD	hear
a	DT	a
loud	NN	loud
,	,	,
piercing	VBG	pierce
cry	NN	cry
,	,	,
and	CC	and
they	PRP	they
stood	VBD	stand
still	RB	still
to	TO	to
listen	VB	listen
.	.	.
Presently	RB	Presently
the	DT	the
scream	NN	scream
of	IN	of
an	DT	an
eagle	NN	eagle
sounded	VBD	sound
through	IN	through
the	DT	the
wood	NN	wood
;	:	;
it	PRP	it
was	VBD	be
an	DT	an
ugly	RB	ugly
cry	NN	cry
,	,	,
and	CC	and
it	PRP	it
frightened	VBD	frighten
the	DT	the
children	NNS	child
;	:	;
but	CC	but
before	IN	before
them	PRP	them
,	,	,
in	IN	in
the	DT	the
thickest	JJS	thick
part	NN	part
of	IN	of
the	DT	the
forest	NN	forest
,	,	,
grew	VBD	grow
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
blackberries	NNS	blackberry
,	,	,
in	IN	in
wonderful	JJ	wonderful
quantities	NNS	quantity
.	.	.
They	PRP	They
looked	VBD	look
so	RB	so
inviting	VBG	invite
that	IN	that
the	DT	the
children	NNS	child
could	MD	could
not	RB	not
help	VB	help
stopping	NN	stopping
;	:	;
and	CC	and
they	PRP	they
remained	VBD	remain
there	EX	there
so	RB	so
long	RB	long
eating	NN	eating
,	,	,
that	IN	that
their	PRP$	their
mouths	NNS	mouth
and	CC	and
cheeks	NN	cheek
became	VBD	become
quite	JJ	quite
black	JJ	black
with	IN	with
the	DT	the
juice	NN	juice
.	.	.
Presently	RB	Presently
they	PRP	they
heard	VBD	hear
the	DT	the
frightful	JJ	frightful
scream	NN	scream
again	RB	again
,	,	,
and	CC	and
Christina	NNP	Christina
said	VBD	say
,	,	,
``	``	``
We	PRP	We
shall	MD	shall
get	VB	get
into	IN	into
trouble	NN	trouble
about	IN	about
that	DT	that
pig	NN	pig
.	.	.
''	''	''
``	``	``
Oh	UH	Oh
,	,	,
never	RB	never
mind	NN	mind
,	,	,
''	''	''
said	VBD	say
Ib	NNP	Ib
;	:	;
``	``	``
we	PRP	we
will	MD	will
go	VB	go
home	NN	home
to	TO	to
my	PRP$	my
father	NN	father
's	POS	's
house	NN	house
.	.	.
It	PRP	It
is	VBZ	be
here	RB	here
in	IN	in
the	DT	the
wood	NN	wood
.	.	.
''	''	''
So	IN	So
they	PRP	they
went	VBD	go
on	IN	on
,	,	,
but	CC	but
the	DT	the
road	NN	road
led	VBD	lead
them	PRP	them
out	IN	out
of	IN	of
the	DT	the
way	NN	way
;	:	;
no	DT	no
house	NN	house
could	MD	could
be	VB	be
seen	VBN	see
,	,	,
it	PRP	it
grew	VBD	grow
dark	JJ	dark
,	,	,
and	CC	and
the	DT	the
children	NNS	child
were	VBD	be
afraid	JJ	afraid
.	.	.
The	DT	The
solemn	NN	solemn
stillness	NN	stillness
that	WDT	that
reigned	VBD	reign
around	IN	around
them	PRP	them
was	VBD	be
now	RB	now
and	CC	and
then	RB	then
broken	VBN	break
by	IN	by
the	DT	the
shrill	NN	shrill
cries	NNS	cry
of	IN	of
the	DT	the
great	JJ	great
horned	JJ	horned
owl	NN	owl
and	CC	and
other	JJ	other
birds	NNS	bird
that	IN	that
they	PRP	they
knew	VBD	know
nothing	NN	nothing
of	IN	of
.	.	.
At	IN	At
last	JJ	last
they	PRP	they
both	DT	both
lost	VBD	lose
themselves	PRP	themselves
in	IN	in
the	DT	the
thicket	NN	thicket
;	:	;
Christina	NNP	Christina
began	VBD	begin
to	TO	to
cry	VB	cry
,	,	,
and	CC	and
then	RB	then
Ib	NNP	Ib
cried	VBD	cry
too	RB	too
;	:	;
and	CC	and
,	,	,
after	IN	after
weeping	VBG	weep
and	CC	and
lamenting	VBG	lament
for	IN	for
some	DT	some
time	NN	time
,	,	,
they	PRP	they
stretched	VBD	stretch
themselves	PRP	themselves
down	RP	down
on	IN	on
the	DT	the
dry	JJ	dry
leaves	NNS	leaf
and	CC	and
fell	VBD	fell
asleep	RB	asleep
.	.	.
The	DT	The
sun	NN	sun
was	VBD	be
high	JJ	high
in	IN	in
the	DT	the
heavens	NNS	heaven
when	WRB	when
the	DT	the
two	CD	two
children	NNS	child
woke	VBD	wake
.	.	.
They	PRP	They
felt	VBD	felt
cold	JJ	cold
;	:	;
but	CC	but
not	RB	not
far	RB	far
from	IN	from
their	PRP$	their
resting-place	NN	resting-place
,	,	,
on	IN	on
a	DT	a
hill	NN	hill
,	,	,
the	DT	the
sun	NN	sun
was	VBD	be
shining	VBG	shin
through	IN	through
the	DT	the
trees	NNS	tree
.	.	.
They	PRP	They
thought	VBD	think
if	IN	if
they	PRP	they
went	VBD	go
there	EX	there
they	PRP	they
should	MD	should
be	VB	be
warm	JJ	warm
,	,	,
and	CC	and
Ib	NNP	Ib
fancied	VBD	fancy
he	PRP	he
should	MD	should
be	VB	be
able	JJ	able
to	TO	to
see	VB	see
his	PRP$	his
father	NN	father
's	POS	's
house	NN	house
from	IN	from
such	PDT	such
a	DT	a
high	JJ	high
spot	NN	spot
.	.	.
But	CC	But
they	PRP	they
were	VBD	be
far	RB	far
away	RB	away
from	IN	from
home	NN	home
now	RB	now
,	,	,
in	IN	in
quite	RB	quite
another	DT	another
part	NN	part
of	IN	of
the	DT	the
forest	NN	forest
.	.	.
They	PRP	They
clambered	VBD	clamber
to	TO	to
the	DT	the
top	NN	top
of	IN	of
the	DT	the
rising	VBG	rise
ground	NN	ground
,	,	,
and	CC	and
found	VBD	find
themselves	PRP	themselves
on	IN	on
the	DT	the
edge	NN	edge
of	IN	of
a	DT	a
declivity	NN	declivity
,	,	,
which	WDT	which
sloped	VBD	slop
down	RB	down
to	TO	to
a	DT	a
clear	JJ	clear
transparent	JJ	transparent
lake	NN	lake
.	.	.
Great	NNP	Great
quantities	NNS	quantity
of	IN	of
fish	NN	fish
could	MD	could
be	VB	be
seen	VBN	see
through	IN	through
the	DT	the
clear	JJ	clear
water	NN	water
,	,	,
sparkling	VBG	sparkle
in	IN	in
the	DT	the
sun	NN	sun
's	POS	's
rays	NNS	ray
;	:	;
they	PRP	they
were	VBD	be
quite	RB	quite
surprised	VBN	surprise
when	WRB	when
they	PRP	they
came	VBD	come
so	RB	so
suddenly	RB	suddenly
upon	IN	upon
such	JJ	such
an	DT	an
unexpected	JJ	unexpected
sight	NN	sight
.	.	.
Close	RB	Close
to	TO	to
where	WRB	where
they	PRP	they
stood	VBD	stand
grew	VBD	grow
a	DT	a
hazel-bush	JJ	hazel-bush
,	,	,
covered	VBN	cover
with	IN	with
beautiful	JJ	beautiful
nuts	NNS	nut
.	.	.
They	PRP	They
soon	RB	soon
gathered	VBD	gather
some	DT	some
,	,	,
cracked	VBD	crack
them	PRP	them
,	,	,
and	CC	and
ate	VB	eat
the	DT	the
fine	JJ	fine
young	JJ	young
kernels	NNS	kernel
,	,	,
which	WDT	which
were	VBD	be
only	RB	only
just	RB	just
ripe	NN	ripe
.	.	.
But	CC	But
there	EX	there
was	VBD	be
another	DT	another
surprise	NN	surprise
and	CC	and
fright	NN	fright
in	IN	in
store	NN	store
for	IN	for
them	PRP	them
.	.	.
Out	IN	Out
of	IN	of
the	DT	the
thicket	NN	thicket
stepped	VBD	step
a	DT	a
tall	JJ	tall
old	JJ	old
woman	NN	woman
,	,	,
her	PRP	her
face	VBP	face
quite	RB	quite
brown	JJ	brown
,	,	,
and	CC	and
her	PRP$	her
hair	NN	hair
of	IN	of
a	DT	a
deep	JJ	deep
shining	NN	shining
black	JJ	black
;	:	;
the	DT	the
whites	NNS	white
of	IN	of
her	PRP$	her
eyes	NNS	eye
glittered	VBN	glitter
like	IN	like
a	DT	a
Moor	NNP	Moor
's	POS	's
;	:	;
on	IN	on
her	PRP$	her
back	NN	back
she	PRP	she
carried	VBD	carry
a	DT	a
bundle	NN	bundle
,	,	,
and	CC	and
in	IN	in
her	PRP$	her
hand	NN	hand
a	DT	a
knotted	VBN	knot
stick	NN	stick
.	.	.
She	PRP	She
was	VBD	be
a	DT	a
gypsy	NN	gypsy
.	.	.
The	DT	The
children	NNS	child
did	VBD	do
not	RB	not
at	IN	at
first	JJ	first
understand	VBP	understand
what	WP	what
she	PRP	she
said	VBD	say
.	.	.
She	PRP	She
drew	VBD	draw
out	RB	out
of	IN	of
her	PRP$	her
pocket	NN	pocket
three	CD	three
large	JJ	large
nuts	NNS	nut
,	,	,
in	IN	in
which	WDT	which
she	PRP	she
told	VBD	tell
them	PRP	them
were	VBD	be
hidden	VBN	hide
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
and	CC	and
lovely	JJ	lovely
things	NNS	thing
in	IN	in
the	DT	the
world	NN	world
,	,	,
for	IN	for
they	PRP	they
were	VBD	be
wishing	VBG	wish
nuts	NNS	nut
.	.	.
Ib	NNP	Ib
looked	VBD	look
at	IN	at
her	PRP	her
,	,	,
and	CC	and
as	IN	a
she	PRP	she
spoke	VBD	speak
so	RB	so
kindly	RB	kindly
,	,	,
he	PRP	he
took	VBD	take
courage	NN	courage
,	,	,
and	CC	and
asked	VBD	ask
her	PRP$	her
if	IN	if
she	PRP	she
would	MD	would
give	VB	give
him	PRP	him
the	DT	the
nuts	NNS	nut
;	:	;
and	CC	and
the	DT	the
woman	NN	woman
gave	VBD	give
them	PRP	them
to	TO	to
him	PRP	him
,	,	,
and	CC	and
then	RB	then
gathered	VBD	gather
some	DT	some
more	RBR	more
from	IN	from
the	DT	the
bushes	NNS	bush
for	IN	for
herself	NN	herself
,	,	,
quite	RB	quite
a	DT	a
pocket	NN	pocket
full	JJ	full
.	.	.
Ib	NNP	Ib
and	CC	and
Christina	NNP	Christina
looked	VBD	look
at	IN	at
the	DT	the
wishing	VBG	wish
nuts	NNS	nut
with	IN	with
wide	JJ	wide
open	JJ	open
eyes	NNS	eye
.	.	.
``	``	``
Is	VBZ	Is
there	RB	there
in	IN	in
this	DT	this
nut	NN	nut
a	DT	a
carriage	NN	carriage
,	,	,
with	IN	with
a	DT	a
pair	NN	pair
of	IN	of
horses	NNS	horse
?	.	?
''	''	''
asked	VBD	ask
Ib	NNP	Ib
.	.	.
``	``	``
Yes	UH	Yes
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
golden	JJ	golden
carriage	NN	carriage
,	,	,
with	IN	with
two	CD	two
golden	JJ	golden
horses	NNS	horse
,	,	,
''	''	''
replied	VBD	reply
the	DT	the
woman	NN	woman
.	.	.
``	``	``
Then	RB	Then
give	VB	give
me	PRP	me
that	IN	that
nut	NN	nut
,	,	,
''	''	''
said	VBD	say
Christina	NNP	Christina
;	:	;
so	RB	so
Ib	NNP	Ib
gave	VBD	give
it	PRP	it
to	TO	to
her	PRP$	her
,	,	,
and	CC	and
the	DT	the
strange	JJ	strange
woman	NN	woman
tied	VBD	tie
up	RP	up
the	DT	the
nut	NN	nut
for	IN	for
her	PRP$	her
in	IN	in
her	PRP$	her
handkerchief	NN	handkerchief
.	.	.
Ib	NNP	Ib
held	VBD	hold
up	RP	up
another	DT	another
nut	NN	nut
.	.	.
``	``	``
Is	VBZ	Is
there	RB	there
,	,	,
in	IN	in
this	DT	this
nut	NN	nut
,	,	,
a	DT	a
pretty	RB	pretty
little	JJ	little
neckerchief	JJ	neckerchief
like	IN	like
the	DT	the
one	CD	one
Christina	NNP	Christina
has	VBZ	have
on	IN	on
her	PRP$	her
neck	NN	neck
?	.	?
''	''	''
asked	VBD	ask
Ib	NNP	Ib
.	.	.
``	``	``
There	EX	There
are	VBP	be
ten	JJ	ten
neckerchiefs	NNS	neckerchief
in	IN	in
it	PRP	it
,	,	,
''	''	''
she	PRP	she
replied	VBD	reply
,	,	,
``	``	``
as	RB	as
well	RB	well
as	IN	a
beautiful	JJ	beautiful
dresses	NNS	dress
,	,	,
stockings	NNS	stocking
,	,	,
and	CC	and
a	DT	a
hat	NN	hat
and	CC	and
veil	NN	veil
.	.	.
''	''	''
``	``	``
Then	RB	Then
I	PRP	I
will	MD	will
have	VB	have
that	DT	that
one	CD	one
also	RB	also
,	,	,
''	''	''
said	VBD	say
Christina	NNP	Christina
;	:	;
``	``	``
and	CC	and
it	PRP	it
is	VBZ	be
a	DT	a
pretty	RB	pretty
one	CD	one
too	RB	too
.	.	.
And	CC	And
then	RB	then
Ib	NNP	Ib
gave	VBD	give
her	PRP$	her
the	DT	the
second	JJ	second
nut	NN	nut
.	.	.
The	DT	The
third	NN	third
was	VBD	be
a	DT	a
little	JJ	little
black	JJ	black
thing	NN	thing
.	.	.
``	``	``
You	PRP	You
may	MD	may
keep	VB	keep
that	IN	that
one	CD	one
,	,	,
''	''	''
said	VBD	say
Christina	NNP	Christina
;	:	;
``	``	``
it	PRP	it
is	VBZ	be
quite	RB	quite
as	IN	a
pretty	NN	pretty
.	.	.
''	''	''
``	``	``
What	WP	What
is	VBZ	be
in	IN	in
it	PRP	it
?	.	?
''	''	''
asked	VBD	ask
Ib	NNP	Ib
.	.	.
``	``	``
The	DT	The
best	JJS	best
